# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	1.9639159687035243e-01	1.0174572169509204e-01	9.4645875175260394e-02	-3.4483832596330843e-03	-3.2668106382540219e-03	-1.8157262137906226e-04	-1.5426190084374797e-03	3.5499232599158232e-03	2.4998312713360577e-02	1.8475557933746373e-01	1.1737610238209244e-01	6.7379476955371290e-02
2                       	2.5928723647238683e-01	1.3317971247148375e-01	1.2610752400090308e-01	-3.8627437004670677e-03	-3.5763363937181898e-03	-2.8640730674887763e-04	-1.6449645434846562e-03	3.5360942352903372e-03	3.8324382647952369e-02	1.8618748148320552e-01	1.3141812338955514e-01	5.4769358093650390e-02
3                       	2.1840414130001498e-01	1.1212893710694768e-01	1.0627520419306730e-01	-2.0224253472483945e-03	-2.0875198802435099e-03	6.5094532995115515e-05	-1.0763072066193127e-03	2.9268664569401959e-03	2.8576490326782167e-02	1.8649141127486141e-01	1.2182219596421286e-01	6.4669215310648537e-02
4                       	1.1647815767022045e-01	6.0436086453046801e-02	5.6042071217173646e-02	5.7680494002663410e-04	-7.4556560962769626e-05	6.5136150098940376e-04	-3.6295903097608665e-04	2.1970076179365808e-03	5.2445530805360829e-03	1.8596411204219765e-01	9.8226609101634901e-02	8.7737502940562748e-02
5                       	7.4015023647333311e-03	5.4724389446050015e-03	1.9290634201283297e-03	2.4401190820220516e-03	1.3015501056098300e-03	1.1385689764122214e-03	8.1490564598804240e-05	1.7716877622383366e-03	-1.9327594694006574e-02	1.8472074668129534e-01	7.3032778646641094e-02	1.1168796803465425e-01
6                       	-6.3038401171314817e-02	-2.9712586240594561e-02	-3.3325814930720260e-02	2.7616127933421494e-03	1.4390012293311653e-03	1.3226115640109842e-03	5.8194832660090555e-05	1.8066143450628511e-03	-3.4416386416411801e-02	1.8184282033683097e-01	5.6505023752003683e-02	1.2533779658482730e-01
7                       	-7.8301972677870202e-02	-3.6986521007519889e-02	-4.1315451670350306e-02	1.7877677927485738e-03	5.8476916861436342e-04	1.2029986241342103e-03	-3.0911472775992343e-04	2.1644653314152129e-03	-3.6554973820549931e-02	1.7822702452071076e-01	5.2558538439805458e-02	1.2566848608090531e-01
8                       	-4.9975431863354611e-02	-2.2402047392869006e-02	-2.7573384470485608e-02	2.9157188138821205e-04	-4.8511589717850135e-04	7.7668777856671346e-04	-6.3090183787260735e-04	2.5856685388083011e-03	-2.8773978504654921e-02	1.7497006516825744e-01	5.8711054079473801e-02	1.1625901108878364e-01
9                       	-7.6940917477064628e-04	2.4718898687820959e-03	-3.2412990435527426e-03	-9.7774962898357050e-04	-1.2009585303060072e-03	2.2320890132243660e-04	-7.1208371581422188e-04	2.8565944561674194e-03	-1.6519108674038208e-02	1.7257779314962260e-01	6.9769787900773081e-02	1.0280800524884950e-01
10                      	4.6190001256410686e-02	2.5919286029639488e-02	2.0270715226771201e-02	-1.3772328442535626e-03	-1.2352659084200594e-03	-1.4196693583350313e-04	-5.4664948629327818e-04	2.8242854014341452e-03	-5.2045500426982118e-03	1.7135592038249198e-01	8.0473410148547767e-02	9.0882510233944211e-02
