# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	h_solver                	h_initial               	h_final                 	h_iters                 	h_converged             	nuTilda_solver          	nuTilda_initial         	nuTilda_final           	nuTilda_iters           	nuTilda_converged       	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
1                       	DILUPBiCGStab	9.9989139138010275e-01	6.9813587481661601e-03	1	1.0000000000000000e+00	2.4812481987429870e-03	2	1.0000000000000000e+00	3.1557825531962438e-03	2	false	DILUPBiCGStab	9.9991813242961491e-01	5.9027539490013282e-03	1	true	DILUPBiCGStab	9.9999930099223788e-01	6.3239162801085149e-04	1	true	GAMG	9.9999999953762209e-01	9.4717742301943294e-03	21	true
2                       	DILUPBiCGStab	2.2549568839820171e-04	2.2153119904904789e-06	1	4.1141451443490441e-02	3.9670002387421347e-05	2	9.6226255661479763e-04	8.5467489345995745e-06	1	false	DILUPBiCGStab	3.3201917131372511e-04	5.4881759024345676e-07	2	true	DILUPBiCGStab	5.1006637759090438e-05	1.6827747528678161e-07	1	true	GAMG	1.4233427603063220e-03	1.2311105088959280e-05	12	true
3                       	DILUPBiCGStab	9.4079281381347752e-05	8.9248209808255373e-07	1	1.0115561334157761e-02	9.6873659565184328e-06	2	2.2516450509363581e-04	2.0377347188555879e-06	1	false	DILUPBiCGStab	7.8804766680031445e-04	1.2223331445108520e-06	2	true	DILUPBiCGStab	1.8810064677268428e-05	1.1609440243750780e-07	1	true	GAMG	1.5715411044994140e-03	1.4920796870614250e-05	10	true
4                       	DILUPBiCGStab	6.2792777829702982e-05	5.3693044983860658e-07	1	5.4848334514753750e-03	5.3780704124298481e-06	2	1.1882635212877611e-04	1.0698589321264661e-06	1	false	DILUPBiCGStab	1.1430376508044290e-03	1.7497833383587219e-06	2	true	DILUPBiCGStab	1.5178527228345550e-05	1.1058053883781601e-07	1	true	GAMG	2.0347196085571009e-03	1.7803743162342278e-05	13	true
5                       	DILUPBiCGStab	4.8340465512250717e-05	3.0566749130307931e-07	1	2.5814409425298098e-03	3.2450676507514011e-06	2	5.8612096913311151e-05	5.3933860425413691e-07	1	false	DILUPBiCGStab	1.7018738770476871e-03	3.0149953133065020e-06	2	true	DILUPBiCGStab	1.5251556473664589e-05	1.1258402200034510e-07	1	true	GAMG	3.2167285129312221e-03	2.7810979452878401e-05	15	true
6                       	DILUPBiCGStab	4.5341960066320889e-05	1.5993774042539609e-07	1	1.6178629081670249e-03	2.9618370010070719e-06	2	2.7132732407308870e-05	3.0198630272682623e-08	2	false	DILUPBiCGStab	7.1610773632577876e-03	3.5852437974816348e-05	2	true	DILUPBiCGStab	1.2668732312349751e-05	5.1462555599544243e-08	2	true	GAMG	3.2127376894111527e-02	3.1315235755280532e-04	13	true
7                       	DILUPBiCGStab	6.3515050101100614e-05	2.9870761834931252e-07	1	4.9420546971117663e-03	4.8220085826697023e-05	1	7.8684151814192613e-05	5.7790159696579823e-08	2	false	DILUPBiCGStab	1.0497612097336980e-03	7.6391553962823432e-06	2	true	DILUPBiCGStab	1.4404542220696390e-05	1.1628817751897470e-07	1	true	GAMG	3.1741100448804201e-03	3.0773644720738512e-05	11	true
8                       	DILUPBiCGStab	7.7413888084327051e-05	4.4207200289918402e-07	1	8.5299617035093853e-03	4.3092907915249187e-05	2	1.6722605046888930e-04	1.2089185183629120e-07	2	false	DILUPBiCGStab	7.4886833663832266e-04	4.4278693621708559e-06	2	true	DILUPBiCGStab	1.4227710466105660e-05	1.2406534224926879e-07	1	true	GAMG	3.3549668296265290e-03	2.7980352273303369e-05	11	true
9                       	DILUPBiCGStab	6.7608105877616049e-05	4.4151365377748578e-07	1	1.0466575535993240e-02	1.0348137378250690e-05	2	2.8463011669696499e-04	2.7688500972696030e-06	1	false	DILUPBiCGStab	1.0918237177042840e-03	2.7582580261503199e-06	2	true	DILUPBiCGStab	1.6937770090923180e-05	1.3408331875188641e-07	1	true	GAMG	4.7233578226859247e-03	4.0292143449903628e-05	12	true
10                      	DILUPBiCGStab	4.7552980366798269e-05	3.2544383730735769e-07	1	5.5940575550631451e-03	9.5958224727474878e-06	2	1.7381491520149160e-04	1.5408746303057590e-06	1	false	DILUPBiCGStab	1.5804807083187420e-03	3.6876390763462441e-06	2	true	DILUPBiCGStab	1.8068269282098881e-05	1.3781566166007780e-07	1	true	GAMG	1.2020395735099700e-02	1.0892707005973730e-04	13	true
11                      	DILUPBiCGStab	5.5671696393041007e-05	2.4510755765314650e-07	1	4.1646304626075416e-03	6.2909361296358662e-06	2	8.7972713687949671e-05	8.0982840007065045e-07	1	false	DILUPBiCGStab	1.2553941397092120e-03	3.2464354531211640e-06	2	true	DILUPBiCGStab	2.3852303221068118e-05	1.8626286706543920e-07	1	true	GAMG	7.7546285018724077e-03	6.7077300391565526e-05	13	true
12                      	DILUPBiCGStab	6.2298090608681181e-05	2.7495923049803990e-07	1	4.1101974032331226e-03	1.8755432439214119e-05	2	8.2716824359157731e-05	8.0330941070755229e-07	1	false	DILUPBiCGStab	8.0967854646576574e-04	2.8585491916714249e-06	2	true	DILUPBiCGStab	2.5191492525323199e-05	1.8656477172042031e-07	1	true	GAMG	4.1119523556187778e-03	4.1036418691154343e-05	10	true
13                      	DILUPBiCGStab	5.4351488331747810e-05	2.7009832808598971e-07	1	3.2242828847292670e-03	3.1273438500158517e-05	1	6.4557641712040018e-05	3.8175786272151853e-08	2	false	DILUPBiCGStab	5.7637018295204868e-04	5.2908698040377147e-06	1	true	DILUPBiCGStab	5.0567989180802921e-05	2.2407184193299589e-07	1	true	GAMG	4.5562489016549258e-03	4.1239019996449703e-05	10	true
14                      	DILUPBiCGStab	3.9324845790220838e-05	2.1298918483354970e-07	1	1.9475711744333470e-03	1.9024250593711681e-05	1	4.1739537800900108e-05	3.3267427267626422e-08	2	false	DILUPBiCGStab	4.2657595894873059e-04	3.2571266794319669e-06	1	true	DILUPBiCGStab	3.5314376643572479e-05	2.5814457982909432e-07	1	true	GAMG	6.1931914487109389e-03	5.3050691029346472e-05	11	true
15                      	DILUPBiCGStab	2.6366876524839532e-05	1.1919214343608410e-07	1	1.2430078923773181e-03	2.0897984927801211e-06	2	2.2939608070756509e-05	2.1942916252856310e-07	1	false	DILUPBiCGStab	3.5272550564356518e-04	3.0081676211033698e-06	1	true	DILUPBiCGStab	7.1374128807733805e-05	2.8602106541474589e-07	1	true	GAMG	1.2683571880046790e-02	1.1939263311087441e-04	11	true
16                      	DILUPBiCGStab	2.2702449746887200e-05	1.4827329082192420e-07	1	1.6590091777016580e-03	3.0735821248242991e-06	2	2.1470098225537200e-05	1.3313786899703169e-07	1	false	DILUPBiCGStab	2.9419427809847221e-04	2.8305495114610150e-06	1	true	DILUPBiCGStab	4.2397045245363541e-05	3.1769682452782261e-07	1	true	GAMG	2.5430211803554901e-02	2.4219623023039879e-04	10	true
17                      	DILUPBiCGStab	3.5402992012475377e-05	1.1100034959424180e-07	1	2.4761689092812119e-03	1.0416899508258970e-05	2	3.2592677395825673e-05	1.8397329256170850e-07	1	false	DILUPBiCGStab	2.4794300852473201e-04	2.1858689718150960e-07	2	true	DILUPBiCGStab	7.5841760385653864e-05	3.6651910852902753e-07	1	true	GAMG	1.1193922872498650e-02	1.0277942994049180e-04	9	true
18                      	DILUPBiCGStab	4.5010307292586692e-05	1.2851822525188050e-07	1	2.5738973844669408e-03	2.2695162062072972e-05	2	3.8985388514550548e-05	2.5461490029006639e-07	1	false	DILUPBiCGStab	2.1494657242203901e-04	2.1709046933794571e-07	2	true	DILUPBiCGStab	5.5368365438170077e-05	4.1728143649750751e-07	1	true	GAMG	1.3936505834408671e-02	1.3761018681933670e-04	9	true
19                      	DILUPBiCGStab	4.3180041081510599e-05	1.1071481294951330e-07	1	1.8193185479891550e-03	1.7619768983548539e-05	1	3.3268132328154857e-05	2.4795077724003908e-07	1	false	DILUPBiCGStab	1.9739407770222881e-04	2.2051114133381721e-07	2	true	DILUPBiCGStab	1.0262492783837770e-04	4.8290048395092495e-07	1	true	GAMG	3.7809059468459437e-02	3.5479401261519721e-04	9	true
20                      	DILUPBiCGStab	3.2787708765840929e-05	1.0193933993544270e-07	1	1.4455634876895101e-03	4.7187108695951014e-06	2	2.6271876859621371e-05	1.7546163795279739e-07	1	false	DILUPBiCGStab	1.9281995277358241e-04	2.1227542057799339e-07	2	true	DILUPBiCGStab	7.3399917554489507e-05	5.3109407370566884e-07	1	true	GAMG	1.8783897535586291e-02	1.6595991680826551e-04	10	true
21                      	DILUPBiCGStab	2.2079436043126729e-05	9.9162973994658621e-08	1	1.6535377744180571e-03	6.2881588142554110e-06	2	2.6585859360558178e-05	1.6551864827532420e-07	1	false	DILUPBiCGStab	1.8321411673378400e-04	1.8598324857412809e-07	2	true	DILUPBiCGStab	1.3310289974703010e-04	6.3920300464269392e-07	1	true	GAMG	7.0510667589828669e-03	6.9633611430388445e-05	9	true
22                      	DILUPBiCGStab	1.9408629828723519e-05	9.2521908293427853e-08	1	1.6197404531741620e-03	5.5588411434823826e-06	2	2.5860801919227199e-05	1.9283702749570699e-07	1	false	DILUPBiCGStab	1.6940042131693311e-04	1.6069320005286170e-06	1	true	DILUPBiCGStab	1.1902295615258650e-04	7.3395909276960030e-07	1	true	GAMG	6.8752789131699514e-03	5.5750466364387273e-05	9	true
