# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1                       	1.5245722222585434e-01	7.9509460308733390e-02	7.2947761917120962e-02	4.7147523476838578e-05	-2.2398570141784926e-03	2.2870045376553313e-03	-2.2634307759169122e-03	3.2808491958062078e-03	6.9596983075742591e-04	2.3399878158334414e-01	1.1769536062242950e-01	1.1630342096091464e-01
2                       	2.6703850261995293e-01	1.3707428994908424e-01	1.2996421267086869e-01	9.7834816670384217e-05	-3.9250957047071997e-03	4.0229305213775836e-03	-3.9740131130423916e-03	3.5550386391077732e-03	9.4830912428579724e-03	2.5594934056358221e-01	1.3745776152464909e-01	1.1849157903893313e-01
3                       	2.5702942290220437e-01	1.3197286422667887e-01	1.2505655867552545e-01	1.9445827547503295e-04	-3.6410007932723035e-03	3.8354590687473362e-03	-3.7382299310098200e-03	3.4581527755767130e-03	9.3070365704533559e-03	2.5167698116885240e-01	1.3514552715487957e-01	1.1653145401397286e-01
4                       	1.6880425937220331e-01	8.7458027566972005e-02	8.1346231805231303e-02	3.0221666782743019e-04	-2.1057760192983799e-03	2.4079926871258097e-03	-2.2568843532120948e-03	3.0558978808703460e-03	3.9079779825687694e-03	2.2700771878809425e-01	1.1741183737661590e-01	1.0959588141147836e-01
5                       	5.3443531246511085e-02	2.9307909638504485e-02	2.4135621608006599e-02	3.1199983720080410e-04	-2.0863748123500322e-04	5.2063731843580735e-04	-3.6463739983540530e-04	2.5861440152489439e-03	-3.3620702823678700e-03	1.9503190693833317e-01	9.4153883186798709e-02	1.0087802375153446e-01
6                       	-4.3235335502503587e-02	-1.9337817051029771e-02	-2.3897518451473816e-02	1.6389967078740434e-04	1.2153269742669311e-03	-1.0514273034795271e-03	1.1333771388732290e-03	2.2798507002220227e-03	-9.5991743853822229e-03	1.6916574061119552e-01	7.4983695920215546e-02	9.4182044690979988e-02
7                       	-9.2468911840140555e-02	-4.3969359986072779e-02	-4.8499551854067777e-02	-1.4855567345992130e-04	1.7249104275120139e-03	-1.8734661009719355e-03	1.7991882642419748e-03	2.2650959339975000e-03	-1.3102617479924115e-02	1.5807358123157414e-01	6.5934173135862945e-02	9.2139408095711181e-02
8                       	-8.8549223783994213e-02	-4.1778384179113282e-02	-4.6770839604880939e-02	-5.3251195014891110e-04	1.3615809817179620e-03	-1.8940929318668732e-03	1.6278369567924176e-03	2.4962277128838303e-03	-1.3458214821147478e-02	1.6273954709753161e-01	6.7911558727618310e-02	9.4827988369913283e-02
9                       	-4.5945486549658188e-02	-2.0152395245874255e-02	-2.5793091303783929e-02	-8.2418926359575917e-04	4.6212002854940796e-04	-1.2863092921451670e-03	8.7421466034728749e-04	2.8203480289548362e-03	-1.1328529585153197e-02	1.7796821581998590e-01	7.7655578324839755e-02	1.0031263749514614e-01
10                      	1.1187075233184985e-02	8.7137520941326426e-03	2.4733231390523421e-03	-9.9791827197098413e-04	-5.3095016628596859e-04	-4.6696810568501554e-04	-3.1991030300476564e-05	3.1202144775401498e-03	-8.0217363638328664e-03	1.9568630545558929e-01	8.9821416363961779e-02	1.0586488909162751e-01
