# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	h_solver                	h_initial               	h_final                 	h_iters                 	h_converged             	nuTilda_solver          	nuTilda_initial         	nuTilda_final           	nuTilda_iters           	nuTilda_converged       	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
1                       	DILUPBiCGStab	9.9901108861488863e-01	4.1078228464320318e-03	2	9.9999999999999944e-01	1.6717455951400660e-03	2	1.0000000000000000e+00	5.7608188827550730e-03	3	false	DILUPBiCGStab	9.9998055947356379e-01	4.1477914949832667e-03	2	true	DILUPBiCGStab	9.9999981084857470e-01	5.6571971170998039e-03	1	true	GAMG	9.9999999954138630e-01	4.3045902342214414e-03	15	true
2                       	DILUPBiCGStab	1.5654357162965590e-03	1.3271948287961029e-05	1	3.0295591817461290e-02	2.3286466468987830e-04	1	7.6902249114910561e-03	6.1695046710331068e-06	2	false	DILUPBiCGStab	1.8982112935055520e-03	1.9012891310162571e-06	2	true	DILUPBiCGStab	7.8660608639233653e-05	6.8922205695499192e-07	1	true	GAMG	4.3950076513517350e-01	3.7564811178460288e-03	12	true
3                       	DILUPBiCGStab	1.1360749472402059e-03	1.0396211244261390e-05	1	3.2779948551531553e-02	2.6313713640367832e-04	1	2.4739038169911401e-03	2.0077042697018960e-06	2	false	DILUPBiCGStab	3.7957818818212760e-03	5.1458681684171890e-06	2	true	DILUPBiCGStab	5.4530231155086047e-05	1.2906099064831050e-07	2	true	GAMG	6.9762980041400940e-02	5.6301988277484064e-04	9	true
4                       	DILUPBiCGStab	6.2969545573170942e-04	4.5433479192921291e-07	2	2.6470666518706290e-02	2.0885158825027330e-04	1	1.2110327038535470e-03	9.6881910540297709e-07	2	false	DILUPBiCGStab	6.1530708948039324e-03	8.7787391226394791e-06	2	true	DILUPBiCGStab	5.0073850593265683e-05	6.0161481654098446e-08	2	true	GAMG	4.4116572080073177e-02	2.9314613351216952e-04	11	true
5                       	DILUPBiCGStab	3.8224305058308551e-04	3.0120068806716932e-07	2	1.3705135427614680e-02	9.8988542795706082e-05	1	4.8256212674217938e-04	3.5284563380222901e-07	2	false	DILUPBiCGStab	6.8070934089650139e-03	8.3114750972292975e-06	2	true	DILUPBiCGStab	4.9867174253048408e-05	6.3213910480711292e-08	2	true	GAMG	2.4683138079952729e-02	1.8000247342822001e-04	11	true
6                       	DILUPBiCGStab	2.7588427475330702e-04	2.3312825552454810e-07	2	7.6654697315977887e-03	8.7139127056910844e-06	2	1.3417838358704561e-04	1.3724781714215419e-07	2	false	DILUPBiCGStab	3.2504586286431032e-03	2.6878972634664940e-05	1	true	DILUPBiCGStab	5.0378571149302987e-05	6.2953821037309732e-08	2	true	GAMG	1.3276358610638870e-02	1.0168555427640019e-04	11	true
7                       	DILUPBiCGStab	2.9929349962491279e-04	2.3305534143672629e-06	1	4.7619461080158479e-02	4.3181417499038073e-05	2	2.6158381292007871e-04	2.2204105759585429e-07	2	false	DILUPBiCGStab	1.4471901524341199e-03	1.2923505791765921e-05	1	true	DILUPBiCGStab	5.1159558850329060e-05	5.5018951535397269e-08	2	true	GAMG	1.2738803277485880e-02	1.0667733121831870e-04	9	true
8                       	DILUPBiCGStab	2.8782237126956188e-04	1.8074558744161179e-06	1	2.3897148746789009e-02	3.0122626273180200e-05	2	3.1368899610229582e-04	2.6582415385532419e-07	2	false	DILUPBiCGStab	8.6734330796789470e-04	6.9168644696987681e-07	2	true	DILUPBiCGStab	5.2783690912681172e-05	5.5501886279498102e-08	2	true	GAMG	1.6919392764819519e-02	1.0052348406684240e-04	10	true
9                       	DILUPBiCGStab	2.1718027848180091e-04	1.4057363969014790e-06	1	1.1285594765308221e-02	3.3200508585805632e-05	2	2.4681822537832608e-04	2.1673913563955660e-07	2	false	DILUPBiCGStab	6.7032349305261784e-04	5.5981813453940959e-07	2	true	DILUPBiCGStab	5.6365361875163068e-05	6.2701888021873361e-08	2	true	GAMG	2.2685183379630242e-02	1.7993651502860159e-04	10	true
10                      	DILUPBiCGStab	1.5076142132789330e-04	9.7855376080309292e-07	1	4.8197617367798443e-03	5.2790518344334026e-06	2	1.2551528222314349e-04	1.0015084376481399e-06	1	false	DILUPBiCGStab	5.6973550006421511e-04	4.9087097629928045e-07	2	true	DILUPBiCGStab	6.0921468133663299e-05	6.9828589702350575e-08	2	true	GAMG	2.9194487465778390e-02	2.7002966904700028e-04	10	true
11                      	DILUPBiCGStab	1.9144354167626519e-04	1.0226771106764390e-06	1	4.8619556407831221e-03	5.7742110028056084e-06	2	8.4047348270658803e-05	7.7883487683717809e-07	1	false	DILUPBiCGStab	4.9708776346881769e-04	4.1614529926707279e-07	2	true	DILUPBiCGStab	6.7586567959686822e-05	7.7345254464982221e-08	2	true	GAMG	3.6412335034624793e-02	3.5898594219801729e-04	10	true
12                      	DILUPBiCGStab	2.7450166292349601e-04	1.1090231659473440e-06	1	7.5507330813976738e-03	1.0848741544469909e-05	2	1.3053985170046619e-04	8.8239049659088280e-08	2	false	DILUPBiCGStab	4.4304422705209118e-04	3.4660028009839892e-07	2	true	DILUPBiCGStab	7.5999828652799985e-05	8.6224754726653975e-08	2	true	GAMG	5.4266424553575790e-02	5.1664148743938440e-04	9	true
13                      	DILUPBiCGStab	2.8551434895609948e-04	1.2374014692836480e-06	1	7.9596622231272746e-03	1.2180162468557950e-05	2	1.4166779053212890e-04	9.1524609121858453e-08	2	false	DILUPBiCGStab	4.0698634735734013e-04	3.6631339261912191e-06	1	true	DILUPBiCGStab	8.5750619878178461e-05	9.7146985588981092e-08	2	true	GAMG	5.4113148074903042e-02	4.9811115042920000e-04	8	true
14                      	DILUPBiCGStab	2.2660214850152139e-04	1.2725258440456111e-06	1	5.4945320290092680e-03	6.6357660518176509e-06	2	1.0986560369334100e-04	8.2456887701621169e-08	2	false	DILUPBiCGStab	3.8685676474772140e-04	3.1065661723692371e-06	1	true	DILUPBiCGStab	9.8583644928852159e-05	9.8281935078751070e-07	1	true	GAMG	3.6034224846698333e-02	2.2428740603190671e-04	10	true
15                      	DILUPBiCGStab	1.4942842995209319e-04	1.1699627182559521e-06	1	2.8302755489941641e-03	2.7234421695133418e-06	2	6.4879871161161086e-05	6.1937903935459916e-07	1	false	DILUPBiCGStab	3.8209561094551910e-04	3.0385997029361700e-06	1	true	DILUPBiCGStab	1.1711460074904650e-04	1.1552105411708641e-06	1	true	GAMG	2.2578762914838901e-02	1.8914390969579741e-04	9	true
16                      	DILUPBiCGStab	1.1401851993357509e-04	1.0554331460473331e-06	1	2.1626661446697620e-03	5.8750274088534356e-06	2	4.6797532745972838e-05	3.9582458792904148e-07	1	false	DILUPBiCGStab	3.8661650622346012e-04	3.2026603294998742e-06	1	true	DILUPBiCGStab	1.4539005718028461e-04	1.4346609555161100e-06	1	true	GAMG	1.5317053058469860e-02	7.5006763198634817e-05	11	true
17                      	DILUPBiCGStab	1.5752152694932089e-04	9.3274716548574743e-07	1	2.1437758015405558e-03	5.7302513510222696e-06	2	5.3640519466823548e-05	5.0992084181021844e-07	1	false	DILUPBiCGStab	3.9481300062083009e-04	3.4064611458981669e-06	1	true	DILUPBiCGStab	1.9081886226985479e-04	1.8795086217428401e-06	1	true	GAMG	1.3147680827164870e-02	8.0442634586309173e-05	9	true
18                      	DILUPBiCGStab	1.8810110197781650e-04	6.9887631822424144e-07	1	1.7257532364766230e-03	3.8805354170180896e-06	2	5.3814276685584353e-05	5.2774302369407303e-07	1	false	DILUPBiCGStab	4.0963637428403042e-04	3.5792862368929868e-06	1	true	DILUPBiCGStab	2.7007635236395839e-04	2.6256208848852670e-06	1	true	GAMG	1.6219061581635372e-02	1.3650069241173519e-04	8	true
19                      	DILUPBiCGStab	1.7410855291392959e-04	5.7348093483138504e-07	1	1.1596281532566389e-03	1.7400714681893359e-06	2	4.1358768583918032e-05	3.8176643331750272e-07	1	false	DILUPBiCGStab	4.4696054600072048e-04	3.7666898835302639e-06	1	true	DILUPBiCGStab	4.3591946336567179e-04	4.1293188609230150e-06	1	true	GAMG	1.9478464991943920e-02	1.9054479889596881e-04	8	true
20                      	DILUPBiCGStab	1.3254055578378521e-04	4.6825799506270428e-07	1	8.9054631596934984e-04	6.8460349131130413e-07	2	2.9693219937817221e-05	2.3853881630274833e-07	1	false	DILUPBiCGStab	5.1875762262131855e-04	4.0806827250601424e-06	1	true	DILUPBiCGStab	1.0123392227638010e-03	9.2335375442577797e-06	1	true	GAMG	2.1187850807524129e-02	1.0856603290705190e-04	11	true
21                      	DILUPBiCGStab	8.8812535748792378e-05	3.6720971212484448e-07	1	9.8349161562598527e-04	9.5747173713200857e-06	1	2.9737166423566321e-05	2.2453032134458421e-07	1	false	DILUPBiCGStab	6.0546150841841746e-04	4.5229255029658148e-06	1	true	DILUPBiCGStab	3.6143488463130460e-03	3.1751878064058273e-05	1	true	GAMG	2.1010028239645841e-02	1.1173484131166610e-04	9	true
22                      	DILUPBiCGStab	7.6013862613616258e-05	4.9223080516716604e-07	1	1.1038895362054191e-03	1.4117865685157100e-08	3	3.3495942589391627e-05	2.7499097375536459e-07	1	false	DILUPBiCGStab	7.1184835392389904e-04	5.3146087984523383e-06	1	true	DILUPBiCGStab	7.0906907799702496e-04	6.0191472107068893e-06	1	true	GAMG	1.9182358359152881e-02	1.6662509689726010e-04	8	true
23                      	DILUPBiCGStab	1.1383796408426910e-04	5.6196587135517018e-07	1	1.0111336928864769e-03	5.6084532722465193e-06	2	3.2896655527708421e-05	2.9887440656988893e-07	1	false	DILUPBiCGStab	8.6005565816827723e-04	6.7429714744833730e-06	1	true	DILUPBiCGStab	4.0147747833002377e-04	3.3572141155040268e-06	1	true	GAMG	1.6449847845045811e-02	1.1237862000347650e-04	9	true
24                      	DILUPBiCGStab	1.3029960394017311e-04	4.8458998835922168e-07	1	8.4835850260484274e-04	2.0226429297896508e-06	2	2.8867697905569531e-05	2.6287829370893019e-07	1	false	DILUPBiCGStab	1.1009523310578509e-03	9.2600193800828939e-06	1	true	DILUPBiCGStab	2.8100332435465343e-04	2.3633886845852779e-06	1	true	GAMG	1.3909079361827770e-02	1.2459382704646811e-04	8	true
25                      	DILUPBiCGStab	1.1546806726713540e-04	3.8141583714126638e-07	1	7.5719522777535034e-04	7.3661077490972332e-07	2	2.5152459475098461e-05	2.0428622629542861e-07	1	false	DILUPBiCGStab	1.5687675564520121e-03	1.4172607857654340e-05	1	true	DILUPBiCGStab	2.1712624051343241e-04	1.8648613193004719e-06	1	true	GAMG	1.1297571629805910e-02	8.2591037146456154e-05	9	true
26                      	DILUPBiCGStab	8.5562881759853072e-05	2.7033090754697012e-07	1	7.0430373366953938e-04	4.9781369959155464e-06	1	2.2843115279233050e-05	1.7634196618205651e-07	1	false	DILUPBiCGStab	2.8438236878735269e-03	2.7568103780932871e-05	1	true	DILUPBiCGStab	1.7772795347180531e-04	1.5743769978845290e-06	1	true	GAMG	9.9981466585368009e-03	5.3791425849542323e-05	10	true
27                      	DILUPBiCGStab	6.2594883767739374e-05	3.1783114617937951e-07	1	6.3687442447767474e-04	4.7904053922446087e-06	1	2.1233740216077999e-05	1.7375578227820701e-07	1	false	DILUPBiCGStab	1.4218977225451790e-02	2.9621304590612819e-05	2	true	DILUPBiCGStab	1.5171087807976699e-04	1.3960619994122329e-06	1	true	GAMG	9.6734930994296885e-03	7.2673478977330563e-05	8	true
28                      	DILUPBiCGStab	7.4085176267876590e-05	4.3591963928282379e-07	1	5.2072373566277132e-04	4.7601212773223523e-06	1	1.8831251790823461e-05	1.6948763033009001e-07	1	false	DILUPBiCGStab	4.0553281567441814e-03	6.9671186716606241e-06	2	true	DILUPBiCGStab	1.3350018198265501e-04	1.2789745011858080e-06	1	true	GAMG	9.6026008829118003e-03	4.5427766481637258e-05	10	true
